New Account No,Opportunity ID,New Opportunity Name,Est Completion Month ID,Product Category,Opportunity Stage,Est Opportunity Value
45155791,8-E4HL899,Phase - 7: Improve technical and analytical skills,113,Labour,Stage - 4,8000
46157792,9-GYNF638,Phase - 3: Improve a certain skill,119,Project,Stage - 1,8000
47153793,6-RB2N824,Phase - 2: Create a performance-focused culture,115,Services,Stage - 1,5000
48123794,7-S4C5562,Phase - 4: Improve productivity with cross-functional teams,112,Project,Stage - 2,5000
49144795,6-CPIR788,Phase - 6: Invest in tools to make staff more productive,119,Services,Stage - 2,12000
49148795,7-CPIR954,Phase - 1: Improve employee retention,110,Support,Stage - 1,2000
50163796,6-OZ6T868,Phase - 2: Attract and retain the best people,118,Labour,Stage - 0,2000
51112797,8-TKPN617,Phase - 2: Build high-performing teams,119,Project,Stage - 2,5000
51117797,5-LGDM723,Phase - 5: Maintain alignment across the organization,118,Project,Stage - 4,5000
51123797,6-ES6S679,Phase - 2: Develop leadership abilities and potential of the team,110,Services,Stage - 1,1
5212798,6-DOS4860,Phase - 2: Grow shareholder value,113,Project,Stage - 0,10000
53114799,6-VNAZ593,Phase - 5: Grow earnings per share,113,Services,Stage - 3,5000
53147799,7-2RLK650,Phase - 4: Increase revenue,112,Project,Stage - 0,5000
54117800,7-4K6V649,Phase - 2: Manage cost,113,Services,Stage - 3,5000
56121802,7-3T3N639,Phase - 7: Maintain appropriate financial leverage,109,Project,Stage - 5,10000
59113805,6-YQ22973,Phase - 6: Ensure favorable bond ratings,110,Services,Stage - 0,8000
59115805,9-CVPS925,Phase - 7: Balance the budget,110,Support,Stage - 2,10000
6114807,5-375M928,Phase - 5: Ensure financial sustainability,120,Labour,Stage - 4,10000
62145808,5-375M720,Phase - 7: Maintain profitability,116,Project,Stage - 1,10000
63154809,8-375M877,Phase - 3: Diversify and grow revenue streams,114,Labour,Stage - 5,10000
63155809,7-M7A6864,Phase - 2: Best value for the cost,120,Project,Stage - 5,5000
65154811,7-QPCA818,Phase - 7: Broad product offering,120,Services,Stage - 3,6000
66124812,6-NSN2867,Phase - 3: Reliable products/services,118,Labour,Stage - 0,3000
66147812,8-5UE4665,Phase - 3: Cross-sell more products,111,Project,Stage - 1,4095.0041
66177812,6-TXPX817,Phase - 2: Increase share of market,116,Services,Stage - 1,800
6815814,7-Z22T801,Phase - 7: Increase share of wallet,119,Project,Stage - 3,500
70113816,6-Z22T678,Phase - 5: Partner with customers to provide solutions,113,Services,Stage - 0,1000
70127816,7-55WW642,Phase - 6: Best service,109,Support,Stage - 2,1365.0014
72156818,5-55WW586,Phase - 5: Understands my needs,116,Labour,Stage - 0,9555.0096
0007416-180,9-JFKY680,Phase - 3: Most innovative products/services,110,Project,Stage - 1,500
0007511-179,8-JFKY764,Phase - 6: Differentiate the product,112,Project,Stage - 4,0
0007611-178,5-JFKY896,Phase - 3: Invest a certain amount in innovation,117,Services,Stage - 1,1000
76127822,5-JFKY557,Phase - 5: Grow percentage of sales from new products,117,Project,Stage - 2,500
80161826,5-UQC6914,Phase - 6: Improve or focus research and development (R&D),119,Services,Stage - 0,10000
80173826,5-UQC6660,Phase - 1: Acquire new customers from innovative offerings,115,Project,Stage - 3,11000
82115828,9-5RQG701,Phase - 2: Great customer service,110,Services,Stage - 5,2000
84123830,5-5RQG907,Phase - 4: Improve customer service,117,Project,Stage - 2,0
85124831,5-NY45899,Phase - 3: Invest in customer management,109,Services,Stage - 0,5000
85127831,8-IFRK628,Phase - 3: Partner with customers to design solutions,110,Support,Stage - 5,5000
86151832,9-KOAL628,Phase - 4: Improve customer satisfaction,118,Labour,Stage - 1,50475
86153832,9-KOAL706,Phase - 1: Improve customer retention,119,Project,Stage - 1,50000
87117833,8-RJP3667,Phase - 2: Develop and use a customer database,115,Labour,Stage - 4,50000
87128833,5-RJP3624,Phase - 4: Reduce cost by a certain amount annually,117,Project,Stage - 2,7000
87164833,5-RJP3608,Phase - 6: Reduce waste by a certain amount,113,Services,Stage - 1,-50000
88157834,6-RJP3828,Phase - 7: Invest in Total Quality Management,112,Labour,Stage - 4,-5000
88158834,5-RJP3822,Phase - 3: Reduce error rates,112,Project,Stage - 2,1000
89115835,6-TEFL729,Phase - 1: Improve and maintain workplace safety,114,Services,Stage - 0,178000
93146839,8-TEFL705,Phase - 5: Reduce energy usage per unit of production,111,Project,Stage - 3,1500
93158839,6-TEFL852,Phase - 1: Capitalize on physical facilities,109,Services,Stage - 4,1000
0009316-161,9-TEFL822,Phase - 1: Streamline core business processes,109,Support,Stage - 2,1500
95123841,7-UYFC988,Phase - 7: Increase reliability of operations,116,Labour,Stage - 5,1000
9517841,9-VS5E760,Phase - 3: Ensure compliance,109,Project,Stage - 5,3300
0009711-157,6-VS5E626,Phase - 4: Increase recycling,109,Project,Stage - 0,4600
98117844,6-PWD6806,Phase - 1: Improve reporting and transparency,112,Services,Stage - 2,25000
98141844,6-HKWI913,Phase - 6: Increase community outreach,120,Project,Stage - 4,1365.0014
10014846,5-5M24610,Phase - 1: Optimize control framework,118,Services,Stage - 0,10325
101117847,5-5M24920,Phase - 4: Improve technical and analytical skills,110,Support,Stage - 1,10325
10114847,9-5M24974,Phase - 2: Improve a certain skill,114,Labour,Stage - 4,10325
102118848,7-Q6PA827,Phase - 5: Create a performance-focused culture,109,Project,Stage - 0,3000
102148848,5-724R822,Phase - 3: Improve productivity with cross-functional teams,110,Services,Stage - 2,10000
102176848,7-724R598,Phase - 2: Invest in tools to make staff more productive,111,Support,Stage - 5,30000
104136850,7-7ULO862,Phase - 1: Improve employee retention,118,Labour,Stage - 3,34125.0341
104144850,5-O2LX762,Phase - 4: Attract and retain the best people,110,Project,Stage - 3,6825.0068
0010517-149,6-O2LX909,Phase - 2: Build high-performing teams,111,Services,Stage - 1,6825.0068
107158853,9-HFLM622,Phase - 3: Maintain alignment across the organization,109,Support,Stage - 3,5000
108153854,7-HFLM953,Phase - 1: Develop leadership abilities and potential of the team,112,Labour,Stage - 4,2500
0010913-145,7-DI3F928,Phase - 7: Grow shareholder value,116,Project,Stage - 0,250000
109132855,8-YEEW857,Phase - 1: Grow earnings per share,111,Labour,Stage - 4,6825.0068
109158855,9-XEAT855,Phase - 6: Increase revenue,112,Project,Stage - 1,1365.0014
110151856,5-QKEL885,Phase - 1: Manage cost,111,Services,Stage - 4,168000
0011111-143,7-YTM4865,Phase - 1: Maintain appropriate financial leverage,117,Labour,Stage - 2,10000
114136860,6-BW4M790,Phase - 3: Ensure favorable bond ratings,118,Project,Stage - 0,1000
115156861,8-6FT2935,Phase - 2: Balance the budget,112,Services,Stage - 5,20475.0205
11612862,6-37NZ872,Phase - 2: Ensure financial sustainability,119,Project,Stage - 0,8000
116147862,9-3A34995,Phase - 2: Maintain profitability,114,Services,Stage - 0,6000
121158867,5-BEHW762,Phase - 7: Diversify and grow revenue streams,116,Support,Stage - 5,3412.5034
121167867,8-FOOP917,Phase - 1: Best value for the cost,115,Labour,Stage - 3,1
122125868,5-FOOP914,Phase - 7: Broad product offering,112,Project,Stage - 0,2000
123116869,6-GKSD667,Phase - 3: Reliable products/services,115,Project,Stage - 5,1365.0014
123126869,6-ZI7K565,Phase - 2: Cross-sell more products,112,Services,Stage - 1,20000
123127869,6-LXHX839,Phase - 3: Increase share of market,115,Project,Stage - 0,3000
123133869,7-FFAX580,Phase - 5: Increase share of wallet,109,Services,Stage - 1,4000
123168869,6-HMYF645,Phase - 7: Partner with customers to provide solutions,110,Project,Stage - 2,13650.0137
125112871,7-HMYF962,Phase - 1: Best service,111,Services,Stage - 2,1365.0014
12512871,6-IWBZ782,Phase - 4: Understands my needs,118,Project,Stage - 2,5000
127151873,5-JWCI580,Phase - 6: Most innovative products/services,115,Services,Stage - 2,5000
128127874,7-BAFV903,Phase - 4: Differentiate the product,120,Services,Stage - 3,3000
128167874,6-LRXR825,Phase - 7: Invest a certain amount in innovation,116,Support,Stage - 5,2730.0027
129164875,9-PBL2778,Phase - 3: Grow percentage of sales from new products,114,Labour,Stage - 3,1365.0014
130128876,6-ZOKF967,Phase - 2: Improve or focus research and development (R&D),109,Project,Stage - 3,10000
130134876,7-27TD611,Phase - 6: Acquire new customers from innovative offerings,120,Services,Stage - 2,10000
131127877,6-34H2678,Phase - 1: Great customer service,116,Support,Stage - 3,20000
131155877,6-MQPM906,Phase - 2: Improve customer service,116,Labour,Stage - 1,15000
133124879,6-SV4X878,Phase - 3: Invest in customer management,115,Project,Stage - 5,5000
134135880,8-GSWM879,Phase - 3: Partner with customers to design solutions,116,Services,Stage - 1,5000
134152880,8-GSWM659,Phase - 3: Improve customer satisfaction,116,Support,Stage - 2,5000
13417880,6-GSWM546,Phase - 3: Improve customer retention,118,Labour,Stage - 0,5000
135113881,5-TDXW773,Phase - 6: Develop and use a customer database,112,Project,Stage - 4,32000
135141881,6-TDXW988,Phase - 6: Reduce cost by a certain amount annually,109,Labour,Stage - 4,25000
136141882,5-TDXW989,Phase - 5: Reduce waste by a certain amount,119,Project,Stage - 0,36000
139127885,9-TDXW805,Phase - 2: Invest in Total Quality Management,110,Services,Stage - 0,20000
139137885,9-TDXW964,Phase - 3: Reduce error rates,111,Labour,Stage - 2,20000
13917885,7-OSSL955,Phase - 1: Improve and maintain workplace safety,117,Project,Stage - 5,15000
140138886,6-LJ4U877,Phase - 2: Reduce energy usage per unit of production,119,Services,Stage - 3,7000
140155886,6-LJ4U928,Phase - 5: Capitalize on physical facilities,109,Project,Stage - 2,2000
0014112-113,6-O6OD986,Phase - 7: Streamline core business processes,112,Services,Stage - 3,15000
141132887,8-I7KH886,Phase - 5: Increase reliability of operations,119,Support,Stage - 0,10000
143121889,7-I7KH601,Phase - 3: Ensure compliance,120,Labour,Stage - 5,20000
0014315-111,7-I7KH963,Phase - 3: Increase recycling,117,Project,Stage - 4,20000
143153889,9-MYFE881,Phase - 3: Improve reporting and transparency,117,Project,Stage - 3,15000
143154889,5-J3DS913,Phase - 3: Increase community outreach,114,Services,Stage - 5,30000
144118890,7-J3DS562,Phase - 3: Optimize control framework,111,Project,Stage - 5,30000
146167892,7-VJ47822,Phase - 3: Improve technical and analytical skills,120,Services,Stage - 3,35000
147131893,5-VJ47848,Phase - 4: Improve a certain skill,112,Project,Stage - 4,15000
147138893,9-YPBN805,Phase - 7: Create a performance-focused culture,109,Services,Stage - 1,50000
151143897,9-IH2U672,Phase - 1: Improve productivity with cross-functional teams,110,Project,Stage - 4,35000
152127898,6-IH2U829,Phase - 3: Invest in tools to make staff more productive,119,Services,Stage - 4,5000
155117901,6-LZ4O951,Phase - 1: Improve employee retention,109,Support,Stage - 1,15000
0015812-96,9-LZ4O848,Phase - 6: Attract and retain the best people,115,Labour,Stage - 0,5000
158178904,5-5DNI649,Phase - 4: Build high-performing teams,120,Project,Stage - 3,15000
159124905,9-K7BX582,Phase - 3: Maintain alignment across the organization,111,Labour,Stage - 2,5000
0015913-95,6-V4EH846,Phase - 4: Develop leadership abilities and potential of the team,114,Project,Stage - 4,3000
159146905,6-V4EH625,Phase - 6: Grow shareholder value,112,Services,Stage - 2,3000
160151906,5-TNV7861,Phase - 1: Grow earnings per share,114,Labour,Stage - 0,3000
161142907,9-NWS2768,Phase - 3: Increase revenue,117,Project,Stage - 1,10000
162136908,8-NWS2983,Phase - 3: Manage cost,119,Services,Stage - 0,20000
162142908,6-KY4Y998,Phase - 4: Maintain appropriate financial leverage,115,Project,Stage - 0,10000
163151909,6-S2HI602,Phase - 5: Ensure favorable bond ratings,116,Services,Stage - 4,25000
164151910,6-D7WC938,Phase - 1: Balance the budget,119,Support,Stage - 0,500
164155910,9-D7WC618,Phase - 3: Ensure financial sustainability,118,Labour,Stage - 5,1000
0016416-90,9-ZY3C562,Phase - 6: Maintain profitability,111,Project,Stage - 0,15000
165144911,7-DEP5760,Phase - 6: Diversify and grow revenue streams,112,Project,Stage - 4,15000
165156911,5-VGH5905,Phase - 6: Best value for the cost,113,Services,Stage - 5,5000
165158911,9-VGH5643,Phase - 7: Broad product offering,118,Project,Stage - 3,15000
165171911,6-VGH5804,Phase - 2: Reliable products/services,116,Services,Stage - 0,15000
166134912,6-HQUK576,Phase - 4: Cross-sell more products,109,Project,Stage - 3,5000
168115914,5-HQUK892,Phase - 4: Increase share of market,109,Services,Stage - 1,1000
169165915,9-HQUK864,Phase - 3: Increase share of wallet,119,Project,Stage - 0,10000
170112916,7-AGVS868,Phase - 4: Partner with customers to provide solutions,111,Services,Stage - 5,1000
170133916,6-E4MG888,Phase - 3: Best service,115,Support,Stage - 2,1000
170138916,5-E4MG877,Phase - 7: Understands my needs,116,Labour,Stage - 0,1000
170172916,7-PYCF727,Phase - 6: Most innovative products/services,115,Project,Stage - 5,6000
172125918,9-2RKH710,Phase - 6: Differentiate the product,115,Labour,Stage - 2,10000
172154918,9-2RKH698,Phase - 6: Invest a certain amount in innovation,118,Project,Stage - 2,18000
173126919,9-3QLV599,Phase - 7: Grow percentage of sales from new products,111,Services,Stage - 5,5000
176158922,8-JVXH970,Phase - 4: Improve or focus research and development (R&D),109,Labour,Stage - 0,5000
177111923,8-AQHC601,Phase - 2: Acquire new customers from innovative offerings,111,Project,Stage - 0,20000
177145923,7-Y2UH629,Phase - 6: Great customer service,110,Services,Stage - 5,5000
178136924,5-GL6G814,Phase - 3: Improve customer service,120,Project,Stage - 5,5000
179151925,5-XKVX738,Phase - 4: Invest in customer management,117,Services,Stage - 3,1000
180136926,6-D5DQ943,Phase - 6: Partner with customers to design solutions,117,Support,Stage - 5,1000
18013926,7-YRWS679,Phase - 4: Improve customer satisfaction,115,Labour,Stage - 3,15000
181122927,5-E5AP822,Phase - 3: Improve customer retention,109,Project,Stage - 4,80000
18413930,7-E5AP547,Phase - 1: Develop and use a customer database,115,Project,Stage - 0,150000
185128931,6-2RAQ956,Phase - 3: Reduce cost by a certain amount annually,109,Services,Stage - 5,20000
187116933,9-2RAQ977,Phase - 4: Reduce waste by a certain amount,112,Project,Stage - 2,10000
18715933,9-KQHI788,Phase - 6: Invest in Total Quality Management,114,Project,Stage - 1,43000
0018815-66,9-2H6V841,Phase - 4: Reduce error rates,109,Project,Stage - 5,20000
189155935,5-P3MH602,Phase - 5: Improve and maintain workplace safety,110,Services,Stage - 3,1000
191118937,5-P3MH946,Phase - 2: Reduce energy usage per unit of production,116,Project,Stage - 4,4000
193126939,6-AF4H960,Phase - 4: Capitalize on physical facilities,118,Services,Stage - 3,15000
194143940,6-AF4H919,Phase - 6: Streamline core business processes,116,Project,Stage - 2,20000
19512941,7-BZVV877,Phase - 6: Increase reliability of operations,111,Services,Stage - 4,43000
195142941,8-4VML665,Phase - 3: Ensure compliance,111,Project,Stage - 0,5000
195153941,8-OT35899,Phase - 3: Increase recycling,112,Services,Stage - 5,1000
197132943,5-OT35721,Phase - 4: Improve reporting and transparency,116,Support,Stage - 2,5000
19816944,6-DUX4660,Phase - 2: Increase community outreach,109,Labour,Stage - 3,10000
198177944,7-C5EZ815,Phase - 5: Optimize control framework,110,Project,Stage - 1,1000
199126945,8-C5EZ594,Phase - 4: Improve technical and analytical skills,120,Labour,Stage - 4,2000
199145945,6-74BU997,Phase - 7: Improve a certain skill,119,Project,Stage - 3,1000000
200118946,9-74BU868,Phase - 6: Create a performance-focused culture,112,Services,Stage - 4,200000
202121948,9-74BU874,Phase - 4: Improve productivity with cross-functional teams,115,Labour,Stage - 2,-800000
202154948,7-74BU649,Phase - 2: Invest in tools to make staff more productive,119,Project,Stage - 1,80000
203125949,8-74BU614,Phase - 3: Improve employee retention,113,Services,Stage - 1,50000
206135952,6-LI4I760,Phase - 2: Attract and retain the best people,116,Project,Stage - 1,3000
207124953,5-LI4I973,Phase - 7: Build high-performing teams,113,Services,Stage - 2,1500
208123954,7-LI4I635,Phase - 4: Maintain alignment across the organization,110,Support,Stage - 0,8000
20917955,8-457D697,Phase - 5: Develop leadership abilities and potential of the team,114,Labour,Stage - 1,3000
0021013-44,5-457D981,Phase - 1: Grow shareholder value,117,Project,Stage - 2,1500
211175957,7-457D803,Phase - 4: Grow earnings per share,120,Project,Stage - 5,3000
212124958,7-WVGG598,Phase - 7: Increase revenue,112,Services,Stage - 1,3000
212147958,6-WVGG927,Phase - 6: Manage cost,116,Project,Stage - 1,1500
212158958,7-WVGG560,Phase - 7: Maintain appropriate financial leverage,113,Services,Stage - 2,3000
215115961,6-XZSN751,Phase - 1: Ensure favorable bond ratings,112,Support,Stage - 5,1
216115962,5-BARQ861,Phase - 2: Balance the budget,115,Labour,Stage - 1,7477
216116962,9-DVTP647,Phase - 4: Ensure financial sustainability,113,Project,Stage - 0,500
218133964,7-GJJF979,Phase - 4: Maintain profitability,109,Services,Stage - 2,3000
0021816-36,8-NL3B619,Phase - 6: Diversify and grow revenue streams,119,Support,Stage - 0,1000
221173967,9-NUJH913,Phase - 6: Best value for the cost,118,Labour,Stage - 1,1000
222148968,7-NOR4877,Phase - 4: Broad product offering,110,Project,Stage - 3,13000
223126969,5-NOR4835,Phase - 6: Reliable products/services,110,Services,Stage - 3,15000
224156970,9-6DNR873,Phase - 7: Cross-sell more products,113,Support,Stage - 3,2000
225126971,9-724F727,Phase - 4: Increase share of market,119,Labour,Stage - 3,8000
226148972,7-CX27722,Phase - 5: Increase share of wallet,109,Project,Stage - 3,20475.0205
227112973,7-IQF6772,Phase - 7: Partner with customers to provide solutions,118,Labour,Stage - 1,13650.0137
227163973,5-4ELV985,Phase - 5: Best service,113,Project,Stage - 2,7000
22716973,6-DDEM835,Phase - 3: Understands my needs,117,Services,Stage - 1,25000
228146974,5-WFUL587,Phase - 5: Most innovative products/services,120,Labour,Stage - 0,13000
230117976,7-HI3D739,Phase - 1: Differentiate the product,115,Project,Stage - 1,6000
230128976,6-XNWO767,Phase - 3: Invest a certain amount in innovation,113,Services,Stage - 2,12000
231155977,5-JHHO607,Phase - 1: Grow percentage of sales from new products,117,Project,Stage - 4,8000
232116978,5-VF6J653,Phase - 4: Improve or focus research and development (R&D),111,Services,Stage - 1,1000
232136978,8-PHSO948,Phase - 3: Acquire new customers from innovative offerings,111,Support,Stage - 1,2000
23214978,5-WX7L752,Phase - 4: Great customer service,115,Labour,Stage - 2,2000
23217978,8-WX7L954,Phase - 4: Improve customer service,114,Project,Stage - 0,1000
23312979,9-TZYR652,Phase - 2: Invest in customer management,119,Project,Stage - 2,1000
234154980,8-JLHU866,Phase - 4: Partner with customers to design solutions,109,Services,Stage - 0,1000
23416980,7-JLHU547,Phase - 4: Improve customer satisfaction,119,Project,Stage - 3,4000
235128981,9-LE6S793,Phase - 4: Improve customer retention,111,Services,Stage - 2,1000
238125984,9-M4QB547,Phase - 2: Develop and use a customer database,120,Project,Stage - 0,12285.0123
239138985,9-M4QB807,Phase - 6: Reduce cost by a certain amount annually,109,Services,Stage - 0,40950.041
241161987,5-AAFP735,Phase - 4: Reduce waste by a certain amount,111,Project,Stage - 1,20475.0205
243154989,6-AAFP971,Phase - 3: Invest in Total Quality Management,117,Services,Stage - 1,13650.0137
243168989,9-AAFP923,Phase - 7: Reduce error rates,117,Services,Stage - 1,6825.0068
245112991,7-OD6A867,Phase - 1: Improve and maintain workplace safety,119,Support,Stage - 2,2047.502
245115991,5-RBR4902,Phase - 6: Reduce energy usage per unit of production,111,Labour,Stage - 3,20000
24516991,5-RBOX672,Phase - 4: Capitalize on physical facilities,112,Project,Stage - 4,2000
246155992,5-RBOX571,Phase - 5: Streamline core business processes,115,Services,Stage - 1,2000
246156992,8-QWWY741,Phase - 1: Increase reliability of operations,116,Support,Stage - 0,10000
248121994,7-HYRY999,Phase - 1: Ensure compliance,115,Labour,Stage - 1,9000
250121996,7-BYXB839,Phase - 6: Increase recycling,112,Project,Stage - 0,13650.0137
253121999,8-BYXB813,Phase - 1: Improve reporting and transparency,120,Services,Stage - 3,6825.0068
254146000,5-5D4C921,Phase - 7: Increase community outreach,110,Support,Stage - 2,1000
254147000,7-5D4C730,Phase - 1: Optimize control framework,116,Labour,Stage - 2,10000
254159000,7-BJQP977,Phase - 3: Improve technical and analytical skills,114,Project,Stage - 4,1365.0014
255135001,7-BJQP625,Phase - 2: Improve a certain skill,114,Labour,Stage - 3,4095.0041
255147001,6-BJQP729,Phase - 4: Create a performance-focused culture,110,Project,Stage - 4,4095.0041
260116006,8-MOUU892,Phase - 6: Improve productivity with cross-functional teams,113,Services,Stage - 2,13650.0137
260139006,9-YXJ4891,Phase - 4: Invest in tools to make staff more productive,114,Labour,Stage - 5,13650.0137
260148006,5-YXJ4697,Phase - 7: Improve employee retention,120,Project,Stage - 5,1365.0014
262126008,8-ODNC992,Phase - 6: Attract and retain the best people,112,Services,Stage - 5,15000
262155008,5-7OPX629,Phase - 2: Build high-performing teams,112,Project,Stage - 4,15000
265118011,7-UPUD938,Phase - 1: Maintain alignment across the organization,111,Services,Stage - 1,10000
265141011,9-GJUL765,Phase - 2: Develop leadership abilities and potential of the team,118,Support,Stage - 4,7500
2671213,6-P5SV929,Phase - 5: Grow shareholder value,114,Labour,Stage - 5,1365.0014
267128013,8-YEKH712,Phase - 5: Grow earnings per share,120,Project,Stage - 3,1000
268122014,8-YEKH868,Phase - 3: Increase revenue,114,Project,Stage - 5,4000
268144014,6-YEKH683,Phase - 7: Manage cost,119,Services,Stage - 4,5000
269116015,9-YEKH905,Phase - 1: Maintain appropriate financial leverage,116,Project,Stage - 5,20000
271148017,9-A3FO855,Phase - 2: Ensure favorable bond ratings,110,Services,Stage - 4,8190.0082
273154019,9-RPYV673,Phase - 4: Balance the budget,113,Project,Stage - 0,1000
274117020,8-MKMV557,Phase - 3: Ensure financial sustainability,112,Services,Stage - 3,5000
274122020,6-MKMV746,Phase - 2: Maintain profitability,117,Project,Stage - 1,5000
275119021,9-MKMV920,Phase - 3: Diversify and grow revenue streams,111,Services,Stage - 0,15000
277128023,6-FCUN666,Phase - 3: Best value for the cost,111,Support,Stage - 3,5000
279159025,6-FCUN773,Phase - 7: Broad product offering,118,Labour,Stage - 1,5000
280119026,9-OGCB609,Phase - 5: Reliable products/services,110,Project,Stage - 1,5000
281152027,8-OGCB817,Phase - 7: Cross-sell more products,111,Labour,Stage - 4,5000
2821528,8-MSB2747,Phase - 4: Increase share of market,116,Project,Stage - 3,5000
2821628,9-TFKZ892,Phase - 1: Increase share of wallet,118,Services,Stage - 0,5000
283136029,6-TFKZ858,Phase - 4: Partner with customers to provide solutions,117,Labour,Stage - 2,20000
283142029,9-PLAD972,Phase - 5: Best service,113,Project,Stage - 0,5000
284122030,8-PLAD627,Phase - 2: Understands my needs,119,Services,Stage - 0,5000
284167030,8-BYTS949,Phase - 1: Most innovative products/services,120,Project,Stage - 1,5000
285119031,7-BYTS799,Phase - 3: Differentiate the product,111,Services,Stage - 4,5000
285147031,6-BYTS851,Phase - 4: Invest a certain amount in innovation,120,Support,Stage - 5,15000
285156031,8-NZQS731,Phase - 7: Grow percentage of sales from new products,111,Labour,Stage - 3,0
2861632,9-NZQS924,Phase - 4: Improve or focus research and development (R&D),113,Project,Stage - 0,0
287132033,9-MABH949,Phase - 4: Acquire new customers from innovative offerings,110,Project,Stage - 3,5000
287152033,9-24T7757,Phase - 7: Great customer service,116,Services,Stage - 0,50000
288121034,6-NDTZ938,Phase - 5: Improve customer service,116,Project,Stage - 5,20475.0205
288137034,6-H5L4676,Phase - 6: Invest in customer management,110,Services,Stage - 5,20000
2881534,6-LQ7C735,Phase - 2: Partner with customers to design solutions,117,Project,Stage - 0,5000
291128037,8-3GDB924,Phase - 5: Improve customer satisfaction,114,Services,Stage - 5,20000
291133037,7-3GDB939,Phase - 2: Improve customer retention,119,Project,Stage - 0,24000
