New Account No,New MonthID, New Targets 
00024117770,117, $252 
00024117770,118, $163 
00024117770,119, $126 
00051117797,110, $336 
00051117797,111, $666 
00051117797,112, $94 
00051117797,113, $426 
00051117797,114, $182 
00051117797,115, $724 
00051117797,116, $674 
00051117797,117, $444 
00051117797,118, $820 
00051117797,119, $192 
00054117800,109, $957 
00054117800,110, $785 
00054117800,111, $277 
00054117800,112, $467 
00054117800,113, $111 
00054117800,114, $373 
00054117800,115, $332 
00054117800,116, $499 
00054117800,117, $816 
00054117800,118, $294 
00054117800,119, $419 
00087117833,109, $662 
00087117833,110, $184 
00087117833,111, $536 
00087117833,112, $307 
00087117833,113, $314 
00087117833,114, $136 
00087117833,115, $393 
00087117833,116, $441 
00087117833,117, $409 
00087117833,118, $154 
00087117833,119, $631 
00098117844,109, $774 
00098117844,110, $312 
00098117844,111, $669 
00098117844,112, $534 
00098117844,113, $114 
00098117844,114, $865 
00098117844,115, $170 
00098117844,116, $61 
00098117844,117, $35 
00098117844,118, $907 
00098117844,119, $380 
00101117847,109," $9,649 "
00101117847,110," $7,152 "
00101117847,111," $4,169 "
00101117847,112," $6,854 "
00101117847,113," $8,164 "
00101117847,114," $6,743 "
00101117847,115," $6,293 "
00101117847,116," $8,923 "
00101117847,117," $6,537 "
00101117847,118," $6,447 "
00101117847,119," $3,429 "
00245115991,109," $6,910 "
00245115991,110," $7,099 "
00245115991,111," $6,296 "
00245115991,112," $6,265 "
00245115991,113, $156 
00245115991,114, $421 
00245115991,115, $201 
00245115991,116, $294 
00245115991,117, $277 
00245115991,118, $989 
00245115991,119, $373 
00216116962,109, $265 
00216116962,110, $172 
00216116962,111, $31 
00216116962,112, $666 
00216116962,113, $148 
00596112342,109," $1,942,946 "
00596112342,110," $557,510 "
00596112342,111," $411,382 "
00596112342,112," $396,371 "
00596112342,113," $467,507 "
00596112342,114," $436,479 "
00596112342,115," $427,031 "
00596112342,116," $422,381 "
00596112342,117," $289,824 "
00596112342,118," $459,742 "
00596112342,119," $155,093 "
00082115828,109," $5,501 "
00082115828,110," $1,927 "
00260116006,109," $72,109 "
00260116006,110," $48,944 "
00260116006,111," $38,186 "
00260116006,112," $43,098 "
00260116006,113," $45,122 "
00260116006,114," $37,162 "
00260116006,115," $32,305 "
00260116006,116," $49,231 "
00260116006,117," $35,199 "
00260116006,118," $32,919 "
00260116006,119," $14,907 "
00269116015,109, $235 
00269116015,110, $144 
00269116015,111, $518 
00269116015,112, $132 
00269116015,113, $627 
00269116015,114, $960 
00269116015,115, $306 
00269116015,116, $811 
00269116015,117, $192 
00269116015,118, $772 
00269116015,119, $398 
00051112797,109, $536 
00051112797,110, $266 
00458117204,109," $114,916 "
00458117204,110," $77,613 "
00458117204,111," $35,550 "
00458117204,112," $39,426 "
00458117204,113," $63,405 "
00458117204,114," $37,276 "
00458117204,115," $29,017 "
00458117204,116," $49,678 "
00458117204,117," $30,272 "
00458117204,118," $31,009 "
00458117204,119," $13,465 "
0097611722,109, $218 
0097611722,110, $74 
0097611722,111, $431 
0097611722,112, $189 
0097611722,113, $339 
0097611722,114, $275 
0097611722,115, $458 
0097611722,116, $97 
0097611722,117, $306 
0097611722,118, $724 
0097611722,119, $293 
0098711733,109, $855 
0098711733,110, $355 
0098711733,111, $389 
0098711733,112," $1,060 "
0098711733,113, $597 
0098711733,114, $508 
0098711733,115, $905 
0098711733,116," $1,417 "
0098711733,117, $528 
0098711733,118, $150 
0098711733,119, $44 
00613119359,109," $13,313 "
00613119359,110," $7,741 "
00613119359,111," $5,611 "
00613119359,112," $6,671 "
00613119359,113," $9,567 "
00613119359,114," $10,292 "
00613119359,115," $8,831 "
00613119359,116," $13,571 "
00613119359,117," $9,426 "
00613119359,118," $8,211 "
00613119359,119," $4,092 "
00791111537,109," $2,475 "
00791111537,110, $180 
00791111537,111," $1,038 "
00791111537,112," $1,741 "
00791111537,113," $1,440 "
00791111537,114, $671 
00791111537,115," $1,136 "
00791111537,116," $2,193 "
00791111537,117," $1,138 "
00791111537,118," $1,031 "
00791111537,119, $65 
00909115655,109," $17,044 "
00909115655,110," $3,109 "
00446111192,109," $8,432 "
00446111192,110," $4,359 "
00446111192,111," $2,655 "
00446111192,112," $3,359 "
00446111192,113," $5,314 "
00446111192,114," $5,041 "
00446111192,115," $4,666 "
00446111192,116," $6,616 "
00446111192,117," $5,573 "
00446111192,118," $4,208 "
00446111192,119," $2,025 "
00748114494,109, $316 
00679113425,109, $974 
00552111298,109," $1,079,778 "
00552111298,110," $798,553 "
00552111298,111," $609,079 "
00552111298,112," $736,939 "
00552111298,113," $1,410,371 "
00552111298,114," $1,471,529 "
00552111298,115," $1,604,010 "
00552111298,116," $3,669,994 "
00552111298,117," $3,152,432 "
00552111298,118," $2,567,840 "
00552111298,119," $1,030,544 "
003501196,109, $228 
00610111356,109, $307 
00610111356,110, $200 
00610111356,111, $697 
00610111356,112, $749 
00610111356,113," $4,050 "
00610111356,114," $6,950 "
00610111356,115," $6,607 "
00610111356,116," $8,356 "
00610111356,117," $4,462 "
00610111356,118," $7,957 "
00610111356,119," $7,701 "
00764111510,109, $828 
00764111510,110, $526 
00764111510,111, $462 
00764111510,112, $340 
00764111510,113, $77 
00764111510,114, $243 
00764111510,115, $124 
00764111510,116, $648 
00764111510,117, $220 
00764111510,118, $56 
00764111510,119, $176 
00358113104,109," $35,227 "
00358113104,110," $23,506 "
00358113104,111," $20,471 "
00358113104,112," $27,756 "
00358113104,113," $69,800 "
00358113104,114," $75,699 "
00358113104,115," $67,576 "
00358113104,116," $99,160 "
00358113104,117," $58,953 "
00358113104,118," $58,108 "
00358113104,119," $26,312 "
00514115260,109, $153 
00514115260,110, $706 
00514115260,111, $659 
00514115260,112, $767 
00514115260,113," $1,113 "
00514115260,114, $618 
00514115260,115, $536 
00514115260,116, $452 
00514115260,117, $495 
00514115260,118, $61 
00514115260,119, $459 
0041011156,109," $2,267 "
0041011156,110," $1,250 "
0041011156,111," $1,001 "
0041011156,112, $907 
0041011156,113," $1,796 "
0041011156,114," $1,933 "
0041011156,115," $1,210 "
0041011156,116," $2,578 "
0041011156,117," $2,383 "
0041011156,118," $2,382 "
0041011156,119," $1,152 "
00177111923,109," $3,406 "
00177111923,110," $1,456 "
00530115276,109, $497 
00530115276,110, $331 
00530115276,111, $533 
00530115276,112, $58 
00530115276,113, $158 
00530115276,114, $850 
00530115276,115, $461 
00530115276,116, $297 
00530115276,117, $864 
00530115276,118," $1,024 "
00530115276,119, $769 
00560117306,109, $802 
00560117306,110, $355 
00560117306,111, $234 
00560117306,112, $231 
00560117306,113, $885 
00560117306,114, $616 
00560117306,115, $251 
00560117306,116, $226 
00560117306,117, $69 
00560117306,118, $674 
00560117306,119, $651 
00993119739,109," $38,942 "
00993119739,110," $23,779 "
00993119739,111," $13,007 "
00993119739,112," $12,314 "
00993119739,113," $35,444 "
00993119739,114," $12,539 "
00993119739,115," $16,619 "
00993119739,116," $40,615 "
00993119739,117," $32,709 "
00993119739,118," $51,449 "
00993119739,119," $27,566 "
00980112726,109, $317 
00717114463,109, $718 
00039114785,109, $662 
00383113129,109, $57 
00383113129,110, $89 
00383113129,111," $1,094 "
00383113129,112, $907 
00383113129,113, $643 
00383113129,114, $915 
00383113129,115, $282 
00383113129,116, $819 
00383113129,117, $45 
00383113129,118, $149 
00383113129,119, $295 
00358111104,109, $218 
00358111104,110," $18,880 "
00358111104,111," $19,111 "
00358111104,112," $22,898 "
00358111104,113," $51,438 "
00358111104,114," $48,575 "
00358111104,115," $52,417 "
00358111104,116," $81,579 "
00358111104,117," $70,478 "
00358111104,118," $68,528 "
00358111104,119," $27,668 "
00001118747,109," $18,693 "
00001118747,110," $24,733 "
00001118747,111," $12,132 "
00001118747,112," $34,917 "
00001118747,113," $48,355 "
00001118747,114," $24,961 "
00001118747,115," $28,281 "
00001118747,116," $55,675 "
00001118747,117," $30,056 "
00001118747,118," $23,725 "
00001118747,119," $10,901 "
003171163,109, $689 
003171163,110, $864 
003171163,111, $56 
003171163,112, $594 
003171163,113, $205 
003171163,114, $753 
003171163,115," $2,343 "
003171163,116," $14,506 "
003171163,117," $10,838 "
003171163,118," $4,975 "
003171163,119," $1,954 "
00125112871,109, $144 
00125112871,110, $372 
00125112871,111, $165 
00125112871,112, $884 
00125112871,113, $165 
00125112871,114, $47 
00125112871,115, $227 
00125112871,116, $774 
00125112871,117, $699 
00125112871,118, $429 
00125112871,119, $351 
00041115787,109, $320 
00624111370,109," $4,168 "
00624111370,110," $4,696 "
00624111370,111," $2,300 "
00624111370,112," $4,402 "
00624111370,113," $4,260 "
00624111370,114," $5,576 "
00624111370,115," $4,244 "
00624111370,116," $6,222 "
00624111370,117," $4,401 "
00624111370,118," $4,578 "
00624111370,119," $2,617 "
00763112509,109," $11,096 "
00763112509,110," $5,182 "
00763112509,111," $5,267 "
00763112509,112," $6,805 "
00763112509,113," $12,977 "
00763112509,114," $11,281 "
00763112509,115," $10,156 "
00763112509,116," $14,143 "
00763112509,117," $10,752 "
00763112509,118," $10,971 "
00763112509,119," $5,030 "
00773119519,109, $88 
00773119519,110, $103 
00773119519,111, $86 
00773119519,112, $651 
00773119519,113, $293 
00773119519,114, $439 
00773119519,115, $524 
00773119519,116, $383 
00773119519,117, $133 
00773119519,118, $104 
00773119519,119, $71 
00593112339,109, $373 
00593112339,110, $808 
00593112339,111, $410 
00593112339,112, $401 
00593112339,113, $68 
00593112339,114, $40 
00593112339,115, $582 
00593112339,116, $390 
00593112339,117, $70 
00593112339,118, $561 
00593112339,119, $136 
00227112973,109," $18,832 "
00227112973,110," $11,445 "
00227112973,111," $8,347 "
00227112973,112," $9,261 "
00227112973,113," $15,342 "
00227112973,114," $7,774 "
00227112973,115," $10,532 "
00227112973,116," $16,642 "
00227112973,117," $9,815 "
00227112973,118," $10,275 "
00227112973,119," $1,813 "
0058611332,109," $2,626 "
0058611332,110," $1,490 "
0058611332,111," $2,121 "
0058611332,112," $1,472 "
0058611332,113," $1,891 "
0058611332,114," $2,146 "
0058611332,115," $1,943 "
0058611332,116," $3,169 "
0058611332,117," $1,276 "
0058611332,118," $2,278 "
0058611332,119," $1,497 "
00303116049,109, $346 
00395112141,109, $821 
00327116073,109, $42 
00574117320,109, $974 
00574117320,110," $1,016 "
00574117320,111, $972 
00574117320,112," $1,047 "
00574117320,113, $320 
00574117320,114, $518 
00574117320,115, $725 
00574117320,116, $832 
00574117320,117, $256 
00574117320,118, $929 
00574117320,119, $43 
00654118400,109, $886 
00654118400,110, $652 
00013116759,109, $165 
00013116759,110, $357 
00013116759,111, $656 
00013116759,112, $456 
00013116759,113, $643 
00013116759,114, $278 
00013116759,115, $292 
00013116759,116, $766 
00013116759,117, $652 
00013116759,118, $621 
00013116759,119, $14 
00409113155,109, $911 
00832116578,109, $756 
00832116578,110, $232 
00832116578,111, $873 
00832116578,112, $347 
00832116578,113, $189 
00832116578,114, $77 
00832116578,115, $339 
00832116578,116, $324 
00832116578,117, $206 
00832116578,118, $965 
00832116578,119, $639 
0065711403,109," $195,524 "
0065711403,110," $128,118 "
0065711403,111," $80,271 "
0065711403,112," $108,960 "
0065711403,113," $159,356 "
0065711403,114," $114,765 "
0065711403,115," $102,136 "
0065711403,116," $167,842 "
0065711403,117," $109,235 "
0065711403,118," $109,404 "
0065711403,119," $46,299 "
00465112211,109, $236 
0009711-157,110, $46 
0009711-157,111, $562 
0009711-157,112, $743 
0009711-157,113, $139 
0009711-157,114, $132 
0009711-157,115, $701 
0009711-157,116, $465 
0009711-157,117, $330 
0009711-157,118, $395 
0009711-157,119, $165 
00000116746,109, $66 
00232116978,109," $2,754 "
00232116978,110," $27,444 "
00232116978,111," $33,416 "
00232116978,112," $29,832 "
00232116978,113," $33,064 "
00232116978,114," $26,964 "
00232116978,115," $23,911 "
00232116978,116," $41,853 "
00232116978,117," $26,108 "
00232116978,118," $24,240 "
00232116978,119," $12,754 "
00274117020,110, $428 
00274117020,111," $1,066 "
00274117020,112, $406 
00274117020,113, $654 
00274117020,114, $301 
00274117020,115, $834 
00274117020,116, $181 
00274117020,117, $183 
00274117020,118," $1,521 "
00274117020,119, $852 
00382117128,109," $2,778,243 "
00382117128,110," $1,906,471 "
00382117128,111," $1,257,791 "
00382117128,112," $1,582,545 "
00382117128,113," $2,566,158 "
00382117128,114," $1,969,291 "
00382117128,115," $1,705,824 "
00382117128,116," $2,683,665 "
00382117128,117," $1,865,314 "
00382117128,118," $1,839,329 "
00382117128,119," $823,259 "
00974119720,109," $6,659 "
00974119720,110," $8,561 "
00974119720,111," $3,315 "
00974119720,112," $6,912 "
00974119720,113," $6,889 "
00974119720,114," $6,236 "
00974119720,115," $6,550 "
00974119720,116," $6,911 "
00974119720,117," $8,422 "
00974119720,118," $6,888 "
00974119720,119," $3,293 "
00796111542,109, $365 
00796111542,110, $558 
00796111542,111, $675 
00796111542,112, $412 
00796111542,113," $1,057 "
00796111542,114, $287 
00796111542,115, $362 
00796111542,116, $241 
00796111542,117, $191 
00796111542,118, $164 
00796111542,119, $718 
00293113039,109, $660 
00293113039,110, $280 
00293113039,111, $366 
00293113039,112, $456 
00293113039,113, $974 
00293113039,114, $409 
00293113039,115, $63 
00293113039,116," $1,127 "
00293113039,117," $5,392 "
00293113039,118," $22,816 "
00293113039,119," $22,693 "
0007511-179,109, $521 
0007511-179,110, $725 
0007511-179,111, $147 
0007511-179,112, $20 
0007511-179,113, $206 
0007511-179,114, $57 
0007511-179,115, $50 
0007511-179,116, $167 
0007511-179,117, $206 
0007511-179,118, $40 
0007511-179,119, $110 
0007611-178,109, $599 
0007611-178,110, $59 
0007611-178,111, $319 
0007611-178,112, $843 
0007611-178,113, $790 
0007611-178,114, $91 
0007611-178,115, $129 
0007611-178,116, $46 
0007611-178,117, $761 
0007611-178,118, $530 
0007611-178,119," $1,079 "
0011111-143,109, $334 
00800111546,110, $69 
00800111546,111, $88 
00800111546,112, $598 
00800111546,113, $734 
00800111546,114, $43 
00800111546,115, $172 
00800111546,116, $140 
00800111546,117, $56 
00800111546,118, $605 
00800111546,119, $141 
00632114378,109," $42,613 "
00632114378,110," $28,246 "
00632114378,111," $21,816 "
00632114378,112," $28,895 "
00632114378,113," $46,187 "
00632114378,114," $40,429 "
00632114378,115," $36,719 "
00632114378,116," $89,138 "
00632114378,117," $56,619 "
00632114378,118," $61,943 "
00632114378,119," $30,747 "
00502113248,110, $938 
00684114430,109," $172,452 "
00684114430,110," $137,301 "
00684114430,111," $79,612 "
00684114430,112," $108,599 "
00684114430,113," $161,246 "
00684114430,114," $155,973 "
00684114430,115," $162,079 "
00684114430,116," $244,709 "
00684114430,117," $164,691 "
00684114430,118," $173,349 "
00684114430,119," $72,719 "
00059113805,109, $131 
00070113816,109, $518 
00070113816,110, $367 
00070113816,111, $105 
00070113816,112, $468 
00070113816,113, $34 
00070113816,114, $309 
00070113816,115, $99 
00070113816,116, $573 
00070113816,117, $127 
00070113816,118, $570 
00070113816,119, $911 
00358114104,109, $755 
00358114104,110, $329 
00358114104,111, $381 
00358114104,112, $575 
00358114104,113, $359 
00358114104,114, $90 
00358114104,115, $999 
00358114104,116, $466 
00358114104,117, $728 
00358114104,118, $442 
00358114104,119, $626 
00957114703,109, $728 
00323118069,109, $701 
00323118069,110, $8 
00323118069,111, $275 
00323118069,112, $522 
00323118069,113, $225 
00323118069,114, $577 
00323118069,115, $243 
00323118069,116, $641 
00323118069,117, $658 
00323118069,118, $206 
00323118069,119, $135 
00447119193,109, $753 
00447119193,110, $145 
00447119193,111," $1,145 "
00447119193,112, $898 
00447119193,113, $695 
00447119193,114, $909 
00447119193,115, $319 
00447119193,116, $39 
00447119193,117, $202 
00447119193,118, $314 
00447119193,119, $272 
00736119482,109, $232 
00168115914,109," $135,578 "
00168115914,110," $82,699 "
00168115914,111," $42,420 "
00168115914,112," $35,747 "
00168115914,113," $115,072 "
00168115914,114," $43,951 "
00168115914,115," $96,233 "
00168115914,116," $206,571 "
00168115914,117," $73,214 "
00168115914,118," $151,540 "
00168115914,119," $85,353 "
0039011136,109, $860 
0073211478,109, $104 
00155117901,109," $13,584 "
00155117901,110, $449 
00155117901,111," $2,188 "
00155117901,112," $2,544 "
00155117901,113, $889 
00155117901,114, $206 
00155117901,115, $282 
00155117901,116, $624 
00155117901,117, $215 
00155117901,118, $258 
00155117901,119," $1,057 "
00911118657,109, $146 
00911118657,110," $2,363 "
00911118657,111," $3,990 "
00911118657,112," $1,546 "
00911118657,113," $2,219 "
00911118657,114, $774 
00911118657,115," $1,549 "
00911118657,116," $2,207 "
00911118657,117," $1,302 "
00911118657,118," $1,640 "
00911118657,119, $381 
00299119045,109," $117,525 "
00299119045,110," $90,450 "
00299119045,111," $63,212 "
00299119045,112," $74,797 "
00299119045,113," $113,684 "
00299119045,114," $83,709 "
00299119045,115," $69,369 "
00299119045,116," $108,087 "
00299119045,117," $79,124 "
00299119045,118," $70,704 "
00299119045,119," $30,324 "
0079211538,109, $666 
00711112457,109," $28,635 "
00711112457,110," $19,570 "
00711112457,111," $16,076 "
00711112457,112," $18,134 "
00711112457,113," $17,591 "
00711112457,114," $14,436 "
00711112457,115," $20,943 "
00711112457,116," $26,019 "
00711112457,117," $13,765 "
00711112457,118," $14,536 "
00711112457,119," $6,033 "
00293116039,109," $161,083 "
00293116039,110," $152,672 "
00293116039,111," $90,519 "
00293116039,112," $105,416 "
00293116039,113," $176,019 "
00293116039,114," $139,568 "
00293116039,115," $123,919 "
00293116039,116," $183,723 "
00293116039,117," $124,437 "
00293116039,118," $116,604 "
00293116039,119," $50,402 "
00366116112,109, $143 
00366116112,110, $252 
00462116208,109, $710 
00462116208,110, $616 
00462116208,111, $524 
00462116208,112, $393 
00462116208,113, $721 
00462116208,114, $476 
00462116208,115," $1,054 "
00462116208,116, $14 
00462116208,117," $11,422 "
00462116208,118," $9,663 "
00462116208,119," $5,946 "
00985115731,109, $364 
00985115731,110, $23 
00985115731,111, $900 
00985115731,112, $123 
00985115731,113," $1,003 "
00985115731,114, $167 
00985115731,115, $604 
00985115731,116, $104 
00985115731,117, $408 
00985115731,118, $534 
00985115731,119, $206 
00988115734,109," $16,423 "
00988115734,110," $7,811 "
00988115734,111," $7,980 "
00988115734,112," $8,282 "
00988115734,113," $13,783 "
00988115734,114," $9,265 "
00988115734,115," $8,197 "
00988115734,116," $6,051 "
00988115734,117," $6,468 "
00988115734,118," $4,505 "
00988115734,119," $2,104 "
00009115755,109, $708 
00009115755,110, $22 
00009115755,111, $76 
00009115755,112, $109 
00009115755,113, $153 
00009115755,114, $139 
00009115755,115, $14 
00009115755,116, $214 
00009115755,117, $182 
00009115755,118, $771 
00009115755,119, $358 
00015115761,109," $17,274 "
00015115761,110," $79,008 "
00015115761,111," $7,316 "
00015115761,112," $9,560 "
00015115761,113," $15,985 "
00015115761,114," $18,155 "
00015115761,115," $16,584 "
00015115761,116," $26,261 "
00015115761,117," $15,861 "
00015115761,118," $16,636 "
00015115761,119," $6,903 "
00020115766,109," $65,418 "
00020115766,110," $36,904 "
00020115766,111," $29,434 "
00020115766,112," $34,398 "
00020115766,113," $49,095 "
00020115766,114," $40,877 "
00020115766,115," $35,644 "
00020115766,116," $72,991 "
00020115766,117," $44,317 "
00020115766,118," $48,485 "
00020115766,119," $20,689 "
0001711-237,109, $799 
0001711-237,110, $187 
0001711-237,111, $552 
0001711-237,112, $551 
0001711-237,113, $510 
0001711-237,114, $624 
0001711-237,115, $489 
0001711-237,116, $560 
0001711-237,117, $162 
0001711-237,118, $563 
0001711-237,119, $226 
00414112160,109," $172,276 "
00414112160,110," $99,173 "
00414112160,111," $77,856 "
00414112160,112," $91,750 "
00414112160,113," $150,019 "
00414112160,114," $126,714 "
00414112160,115," $112,358 "
00414112160,116," $183,506 "
00414112160,117," $114,269 "
00414112160,118," $115,808 "
00414112160,119," $49,694 "
00428112174,109," $1,034 "
00428112174,110, $157 
00428112174,111, $657 
00428112174,112, $105 
00428112174,113, $583 
00428112174,114, $19 
00428112174,115, $557 
00428112174,116, $661 
00428112174,117, $465 
00428112174,118, $464 
00428112174,119, $199 
00292114038,109, $315 
00292114038,110, $417 
00292114038,111, $7 
00292114038,112, $85 
00292114038,113, $252 
00292114038,114, $28 
00292114038,115, $241 
00292114038,116, $77 
00292114038,117, $346 
00292114038,118, $311 
00292114038,119, $472 
00406112152,109, $437 
00406112152,110, $615 
00406112152,111, $221 
00406112152,112, $722 
00406112152,113, $341 
00406112152,114, $560 
00406112152,115, $121 
00406112152,116, $82 
00406112152,117, $74 
00406112152,118, $221 
00406112152,119, $430 
00476116222,109," $4,371,303 "
00476116222,110," $2,942,127 "
00476116222,111," $1,977,279 "
00476116222,112," $2,365,314 "
00476116222,113," $3,854,522 "
00476116222,114," $3,128,978 "
00476116222,115," $2,926,656 "
00476116222,116," $4,504,734 "
00476116222,117," $2,825,187 "
00476116222,118," $2,948,936 "
00476116222,119," $1,266,688 "
00953115699,109, $744 
00953115699,110, $784 
00953115699,111, $264 
00953115699,112, $705 
00953115699,113, $506 
00953115699,114, $214 
00953115699,115, $896 
00953115699,116, $54 
00953115699,117, $164 
00953115699,118, $558 
00953115699,119, $533 
00864115610,109, $888 
00864115610,110, $746 
00864115610,111, $247 
00864115610,112, $546 
00864115610,113, $385 
00864115610,114, $590 
00864115610,115, $72 
00864115610,116, $170 
00864115610,117, $649 
00864115610,118, $19 
00864115610,119, $415 
00682116428,109, $435 
00682116428,110, $428 
00682116428,111, $75 
00682116428,112, $650 
00682116428,113, $927 
00682116428,114, $518 
00682116428,115," $1,090 "
00682116428,116, $654 
00682116428,117, $668 
00682116428,118, $96 
00682116428,119," $1,044 "
00916117662,109," $7,090 "
00916117662,110," $4,639 "
00916117662,111," $3,763 "
00916117662,112," $5,789 "
00916117662,113," $10,738 "
00916117662,114," $10,926 "
00916117662,115," $11,637 "
00916117662,116," $24,016 "
00916117662,117," $17,838 "
00916117662,118," $20,634 "
00916117662,119," $15,328 "
00144118890,109, $705 
00144118890,110, $463 
00144118890,111, $474 
00144118890,112, $775 
00144118890,113, $185 
00144118890,114, $355 
00144118890,115, $460 
00144118890,116, $543 
00144118890,117, $75 
00144118890,118, $64 
00144118890,119, $534 
00191118937,109, $46 
00191118937,110, $664 
00191118937,111, $913 
00191118937,112, $201 
00191118937,113, $447 
00191118937,114, $563 
00191118937,115, $911 
00191118937,116, $748 
00191118937,117," $1,495 "
00191118937,118," $2,594 "
00191118937,119," $1,647 "
00275119021,109," $2,031 "
00275119021,110, $838 
00275119021,111," $1,335 "
00275119021,112," $1,285 "
00275119021,113," $3,072 "
00275119021,114," $2,624 "
00275119021,115," $1,081 "
00275119021,116," $3,207 "
00275119021,117," $2,591 "
00275119021,118," $2,939 "
00275119021,119, $845 
00280119026,109, $646 
00280119026,110, $228 
00280119026,111, $572 
00280119026,112, $256 
00280119026,113, $810 
00285119031,109," $473,157 "
00285119031,110," $356,426 "
00285119031,111," $259,790 "
00285119031,112," $327,456 "
00285119031,113," $552,190 "
00285119031,114," $425,288 "
00285119031,115," $388,423 "
00285119031,116," $701,387 "
00285119031,117," $417,070 "
00285119031,118," $369,526 "
00285119031,119," $165,934 "
00737119483,109," $11,738 "
00737119483,110," $8,711 "
00737119483,111," $6,255 "
00737119483,112," $7,312 "
00737119483,113," $10,083 "
00737119483,114," $8,369 "
00737119483,115," $6,976 "
00737119483,116," $11,481 "
00737119483,117," $7,310 "
00737119483,118," $4,387 "
00737119483,119," $2,415 "
00790119536,109, $507 
00790119536,110, $31 
00790119536,111, $33 
00790119536,112, $150 
00790119536,113," $1,442 "
00790119536,114, $587 
00790119536,115, $925 
00790119536,116," $2,319 "
00790119536,117," $1,185 "
00790119536,118," $1,074 "
00790119536,119, $924 
00865119611,109, $950 
00865119611,110, $671 
00865119611,111, $905 
00865119611,112, $158 
00865119611,113, $680 
00865119611,114, $795 
00865119611,115, $732 
00865119611,116, $938 
00865119611,117, $176 
00865119611,118, $133 
00865119611,119, $721 
00651118397,109, $294 
00392117138,109, $765 
00392117138,110," $5,134 "
00392117138,111," $4,357 "
00392117138,112," $7,889 "
00392117138,113," $25,375 "
00392117138,114," $36,311 "
00392117138,115," $10,647 "
00392117138,116," $30,421 "
00392117138,117," $41,047 "
00392117138,118," $30,340 "
00392117138,119," $19,747 "
00439117185,109, $344 
00439117185,110, $214 
00439117185,111, $150 
00439117185,112, $328 
00439117185,113," $2,150 "
00439117185,114," $1,052 "
00439117185,115," $1,692 "
00439117185,116, $693 
00439117185,117," $1,261 "
00439117185,118," $1,370 "
00439117185,119, $698 
00991111737,109, $61 
00878113624,109, $885 
00907113653,109, $796 
00907113653,110, $147 
00907113653,111, $582 
00907113653,112, $173 
00907113653,113, $200 
00907113653,114, $914 
00907113653,115, $91 
00907113653,116, $66 
00907113653,117, $306 
00907113653,118," $1,031 "
00907113653,119, $546 
00530111276,109, $606 
00604119350,109," $15,252 "
00604119350,110," $9,586 "
00604119350,111," $6,792 "
00604119350,112," $7,969 "
00604119350,113," $12,568 "
00604119350,114," $11,670 "
00604119350,115," $16,877 "
00604119350,116," $55,936 "
