 New Account No ,New Account Name,Industry,Sector,Account Segment,Account Manager Alias,Segment Manager,Industry Manager
383113129,vivo,Telecommunications,Service Providers,SMC Education,GASvirs,Ben Mk.,Paul P.
358111104,prem,Travel and Transportation,Accommodation,Strategic,CLWpron,Bilal G.,Rita R.
1118747,pani,Travel and Transportation,Logistics and Trucking,Priority PS,UNDpang,Andrew I.,Rita R.
3171163,cont,Travel and Transportation,Transport Services,Public Sector,CABcoes,John H.,Rita R.
125112871,fore,Banking,Banking,SMB,CLWfong,Tom F.,Tina Q.
41115787,amos,Banking,Capital Markets/Securities,Priority Commercial,JOBames,Stelios F.,Tina Q.
624111370,hemi,Chemicals,Automotive,Priority Commercial,SWIheve,Stelios F.,Melina K.
763112509,auro,Chemicals,Chemicals,Priority PS,VIRauls,Andrew I.,Melina K.
773119519,rool,Consumer Goods,Consumer Goods,Public Sector,ALHrods,John H.,Maria J.
593112339,geyo,Consumer Goods,Food and Beverage,SMB,UNDgege,Tom F.,Maria J.
227112973,anos,Consumer Goods,Wholesale Distribution,SMC Comm,CABanon,Matthew L.,Maria J.
58611332,biod,Defenses,National Security,SMC Education,UNDbity,Ben Mk.,Melpo Y.
303116049,uniz,Energy,Electricity and Gas Services,Strategic,JICunes,Bilal G.,Peter J.
395112141,homo,Energy,Mining,SMC Comm,CLWhong,Matthew L.,Peter J.
327116073,pere,Energy,Oil and Gas,SMC Education,DAGpeas,Ben Mk.,Peter J.
574117320,play,Entertainment and Media,Advertising,Strategic,SADplng,Bilal G.,Pan R.
654118400,pale,Entertainment and Media,Broadcasters,Priority PS,STTpars,Andrew I.,Pan R.
13116759,auto,Entertainment and Media,Publishing,Public Sector,CHSaung,John H.,Pan R.
409113155,sciv,Health,Health Payor,SMB,RISscor,Tom F.,Ricci M.
832116578,movi,Health,Health Provider,Priority Commercial,LJAmoer,Stelios F.,Ricci M.
65711403,tayo,Higher Education,Higher Education,Priority Commercial,SACtaon,Stelios F.,John Y.
465112211,diva,Insurance,Insurance Direct,Priority PS,THEdict,Andrew I.,Lena I.
 0009711-157 ,skam,Insurance,Insurance Other,Public Sector,HAOsker,John H.,Lena I.
116746,mega,Libraries and Museums,Libraries and Museums,SMB,RIMmems,Tom F.,Andre D.
232116978,redo,Local Government,Public Safety,SMC Comm,UNDrety,Matthew L.,Dan U.
274117020,albo,Manufacturing,Automotive,SMC Education,HGRalve,Ben Mk.,Helen R.
382117128,equv,Manufacturing,High Tech and Electronics,Strategic,HITeqcs,Bilal G.,Helen R.
974119720,eita,National Government,Government Social Programs,SMC Comm,SOPeims,Matthew L.,Onur T.
796111542,semi,National Government,Justice,SMC Education,NICsece,Ben Mk.,Onur T.
293113039,sufe,National Government,Public Administration,Strategic,STAsuon,Bilal G.,Onur T.
 0007511-179 ,avan,National Government,Public Works and Services,Priority PS,UNDaves,Andrew I.,Onur T.
 0007611-178 ,duon,National Government,Resources and Environment,Public Sector,HAOdunt,John H.,Onur T.
 0011111-143 ,amph,National Government,Tax and Revenue,SMB,UNDamue,Tom F.,Onur T.
800111546,cent,Nonprofit,Charities and Philanthropic,Priority Commercial,BHBceic,Stelios F.,Dexter R.
632114378,esis,Nonprofit,Membership Organizations,Priority Commercial,MIDesns,Stelios F.,Dexter R.
502113248,mist,Pharmaceuticals,Pharmaceuticals,Priority PS,JAWmils,Andrew I.,Rob K.
684114430,cora,Primary Education,Primary Education,Public Sector,MIMcoon,John H.,Jenna L.
59113805,syer,Professional Services,Accounting and Consulting,SMB,LEFsyng,Tom F.,Jemma I.
70113816,meex,Professional Services,Data,SMC Comm,UNDmeta,Matthew L.,Jemma I.
358114104,mitz,Professional Services,IT Services,SMC Education,MIWmies,Ben Mk.,Jemma I.
957114703,manu,Professional Services,Legal Services,Strategic,CLWmaes,Bilal G.,Jemma I.
323118069,pixo,Professional Services,Other Services,SMC Comm,CLWpies,Matthew L.,Jemma I.
447119193,teni,Professional Services,Outsourced Services,SMC Education,JERtees,Ben Mk.,Jemma I.
736119482,supr,Professional Services,Software,Strategic,JUWsure,Bilal G.,Jemma I.
168115914,dimm,Retailers,Food Service,Priority PS,KELdice,Andrew I.,Garry N.
39011136,apoz,Retailers,General Merchandise,Public Sector,PHGapse,John H.,Garry N.
73211478,dezu,Retailers,Grocery,SMB,JUWdery,Tom F.,Garry N.
155117901,uber,Retailers,Motor Vehicle and Parts Dealers,Priority Commercial,JOBubrs,Stelios F.,Garry N.
911118657,port,Retailers,Specialty Retail,Priority Commercial,CLWpoil,Stelios F.,Garry N.
299119045,garo,Smart Spaces,Architecture and Engineering,Priority PS,CLWgang,Andrew I.,David B.
79211538,leej,Smart Spaces,Construction,Public Sector,BHBleon,John H.,David B.
711112457,pyro,Smart Spaces,Real Estate,SMB,CLWpyte,Tom F.,David B.
293116039,prot,Smart Spaces,Water and Sewage,SMC Comm,BHBprge,Matthew L.,David B.
366116112,coni,Telecommunications,Hosters and ISPs,SMC Education,CLWcoPs,Ben Mk.,Paul P.
462116208,cisi,Telecommunications,Service Providers,Strategic,CLWcirs,Bilal G.,Paul P.
985115731,skye,Travel and Transportation,Accommodation,SMC Comm,CLWskon,Matthew L.,Rita R.
988115734,lano,Travel and Transportation,Logistics and Trucking,SMC Education,JUWlang,Ben Mk.,Rita R.
9115755,kitr,Travel and Transportation,Transport Services,Strategic,JUWkies,Bilal G.,Rita R.
15115761,poly,Banking,Banking,Priority PS,CLWpong,Andrew I.,Tina Q.
20115766,eatu,Banking,Capital Markets/Securities,Public Sector,BHBeaes,John H.,Tina Q.
 0001711-237 ,disi,Chemicals,Automotive,SMB,SWIdive,Tom F.,Melina K.
414112160,neom,Chemicals,Chemicals,Priority Commercial,JUWnels,Stelios F.,Melina K.
428112174,sumo,Consumer Goods,Consumer Goods,Priority Commercial,SWIsuds,Stelios F.,Maria J.
292114038,laud,Consumer Goods,Food and Beverage,Priority PS,CLWlage,Andrew I.,Maria J.
406112152,ante,Consumer Goods,Wholesale Distribution,Public Sector,CLWanon,John H.,Maria J.
476116222,iniv,Defenses,National Security,SMB,SWIinty,Tom F.,Melpo Y.
953115699,intr,Energy,Electricity and Gas Services,SMC Comm,SWIines,Matthew L.,Peter J.
864115610,suso,Energy,Mining,SMC Education,UNDsung,Ben Mk.,Peter J.
682116428,elec,Energy,Oil and Gas,Strategic,SWIelas,Bilal G.,Peter J.
916117662,veno,Entertainment and Media,Advertising,SMC Comm,BHBveng,Matthew L.,Pan R.
144118890,exec,Entertainment and Media,Broadcasters,SMC Education,CLWexrs,Ben Mk.,Pan R.
191118937,doli,Entertainment and Media,Publishing,Strategic,JUWdong,Bilal G.,Pan R.
275119021,muce,Health,Health Payor,Priority PS,JOBmuor,Andrew I.,Ricci M.
280119026,bede,Health,Health Provider,Public Sector,ALHbeer,John H.,Ricci M.
285119031,soci,Higher Education,Higher Education,SMB,UNDsoon,Tom F.,John Y.
737119483,fine,Insurance,Insurance Direct,Priority Commercial,JOBfict,Stelios F.,Lena I.
790119536,capi,Insurance,Insurance Other,Priority Commercial,BHBcaer,Stelios F.,Lena I.
865119611,ison,Libraries and Museums,Libraries and Museums,Priority PS,HAOisms,Andrew I.,Andre D.
651118397,twim,Local Government,Public Safety,Public Sector,CLWtwty,John H.,Dan U.
392117138,insu,Manufacturing,Automotive,SMB,ALHinve,Tom F.,Helen R.
439117185,skiv,Manufacturing,High Tech and Electronics,SMC Comm,THOskcs,Matthew L.,Helen R.
991111737,demo,National Government,Government Social Programs,SMC Education,SHAdems,Ben Mk.,Onur T.
878113624,comi,National Government,Justice,Strategic,KAGcoce,Bilal G.,Onur T.
907113653,aliz,National Government,Public Administration,SMC Comm,JUWalon,Matthew L.,Onur T.
530111276,exoi,National Government,Public Works and Services,SMC Education,NIDexes,Ben Mk.,Onur T.
604119350,dyna,National Government,Resources and Environment,Strategic,UNDdynt,Bilal G.,Onur T.
62311369,oyon,National Government,Tax and Revenue,Priority PS,PALoyue,Andrew I.,Onur T.
534119280,dyno,Nonprofit,Charities and Philanthropic,Public Sector,LJAdyic,John H.,Dexter R.
484111230,colo,Nonprofit,Membership Organizations,SMB,DACcons,Tom F.,Dexter R.
442115188,enes,Pharmaceuticals,Pharmaceuticals,Priority Commercial,UNDenls,Stelios F.,Rob K.
952115698,aitz,Primary Education,Primary Education,Priority Commercial,MIMaion,Stelios F.,Jenna L.
187116933,grad,Professional Services,Accounting and Consulting,Priority PS,CHPgrng,Andrew I.,Jemma I.
59115805,fort,Professional Services,Data,Public Sector,SWIfota,John H.,Jemma I.
707114453,cryo,Professional Services,IT Services,SMB,LEFcres,Tom F.,Jemma I.
45114791,tele,Professional Services,Legal Services,SMC Comm,DAMtees,Matthew L.,Jemma I.
423119169,loce,Professional Services,Other Services,SMC Education,ALHloes,Ben Mk.,Jemma I.
844111590,domi,Professional Services,Outsourced Services,Strategic,CLWdoes,Bilal G.,Jemma I.
532113278,male,Professional Services,Software,SMC Comm,MIMmare,Matthew L.,Jemma I.
979114725,cyno,Retailers,Food Service,SMC Education,UNDcyce,Ben Mk.,Garry N.
681117427,adeo,Retailers,General Merchandise,Strategic,AHOadse,Bilal G.,Garry N.
583114329,voon,Retailers,Grocery,Priority PS,UNDvory,Andrew I.,Garry N.
585114331,suge,Retailers,Motor Vehicle and Parts Dealers,Public Sector,UNDsurs,John H.,Garry N.
265118011,omni,Retailers,Specialty Retail,SMB,UNDomil,Tom F.,Garry N.
975117721,hype,Smart Spaces,Architecture and Engineering,Priority Commercial,CABhyng,Stelios F.,David B.
824118570,vere,Smart Spaces,Construction,Priority Commercial,CLWveon,Stelios F.,David B.
67111417,diat,Smart Spaces,Real Estate,Priority PS,FNOdite,Andrew I.,David B.
77111517,infr,Smart Spaces,Water and Sewage,Public Sector,UNDinge,John H.,David B.
366112112,zafi,Telecommunications,Hosters and ISPs,SMB,CABzaPs,Tom F.,Paul P.
551114297,peri,Telecommunications,Service Providers,SMC Comm,HEJpers,Matthew L.,Paul P.
910114656,subo,Travel and Transportation,Accommodation,SMC Education,UNDsuon,Ben Mk.,Rita R.
927114673,sure,Travel and Transportation,Logistics and Trucking,Strategic,UNDsung,Bilal G.,Rita R.
53114799,prey,Travel and Transportation,Transport Services,SMC Comm,NIWpres,Matthew L.,Rita R.
897112643,acer,Banking,Banking,SMC Education,UNDacng,Ben Mk.,Tina Q.
215115961,suco,Banking,Capital Markets/Securities,Strategic,THOsues,Bilal G.,Tina Q.
216115962,ambi,Chemicals,Automotive,Priority PS,PHGamve,Andrew I.,Melina K.
612116358,post,Chemicals,Chemicals,Public Sector,GWApols,John H.,Melina K.
688118434,sure,Consumer Goods,Consumer Goods,SMB,GASsuds,Tom F.,Maria J.
697118443,epid,Consumer Goods,Food and Beverage,Priority Commercial,PHGepge,Stelios F.,Maria J.
804118550,micr,Consumer Goods,Wholesale Distribution,Priority Commercial,PIPmion,Stelios F.,Maria J.
102118848,demi,Defenses,National Security,Priority PS,PHGdety,Andrew I.,Melpo Y.
296119042,midi,Energy,Electricity and Gas Services,Public Sector,MIMmies,John H.,Peter J.
955118701,rhyi,Energy,Mining,SMB,UNDrhng,Tom F.,Peter J.
939119685,astr,Energy,Oil and Gas,SMC Comm,UNDasas,Matthew L.,Peter J.
695112441,died,Entertainment and Media,Advertising,SMC Education,SWIding,Ben Mk.,Pan R.
373113119,misi,Entertainment and Media,Broadcasters,Strategic,SWImirs,Bilal G.,Pan R.
946113692,supe,Entertainment and Media,Publishing,SMC Comm,ALHsung,Matthew L.,Pan R.
82211568,jajo,Health,Health Payor,SMC Education,SWIjaor,Ben Mk.,Ricci M.
230117976,luni,Health,Health Provider,Strategic,KRFluer,Bilal G.,Ricci M.
688111434,bovi,Higher Education,Higher Education,Priority PS,ANBboon,Andrew I.,John Y.
750111496,sysi,Insurance,Insurance Direct,Public Sector,BHBsyct,John H.,Lena I.
70611452,yond,Insurance,Insurance Other,SMB,BHByoer,Tom F.,Lena I.
245112991,geno,Libraries and Museums,Libraries and Museums,Priority Commercial,SWIgems,Stelios F.,Andre D.
399112145,feli,Local Government,Public Safety,Priority Commercial,JUWfety,Stelios F.,Dan U.
536114282,quav,Manufacturing,Automotive,Priority PS,SWIquve,Andrew I.,Helen R.
517112263,duyo,Manufacturing,High Tech and Electronics,Public Sector,CLWducs,John H.,Helen R.
620117366,euro,National Government,Government Social Programs,SMB,JOBeums,Tom F.,Onur T.
170112916,flid,National Government,Justice,SMC Comm,CLWflce,Matthew L.,Onur T.
748113494,outo,National Government,Public Administration,SMC Education,ALHouon,Ben Mk.,Onur T.
135113881,calc,National Government,Public Works and Services,Strategic,CLWcaes,Bilal G.,Onur T.
396114142,medi,National Government,Resources and Environment,SMC Comm,UNDment,Matthew L.,Onur T.
517114263,quin,National Government,Tax and Revenue,SMC Education,CLWquue,Ben Mk.,Onur T.
573114319,cerv,Nonprofit,Charities and Philanthropic,Strategic,SAPceic,Bilal G.,Dexter R.
601114347,wiki,Nonprofit,Membership Organizations,Priority PS,RMAwins,Andrew I.,Dexter R.
503119249,zoov,Pharmaceuticals,Pharmaceuticals,Public Sector,DAPzols,John H.,Rob K.
336115082,trut,Primary Education,Primary Education,SMB,CLWtron,Tom F.,Jenna L.
533115279,econ,Professional Services,Accounting and Consulting,Priority Commercial,CLWecng,Stelios F.,Jemma I.
615115361,kwij,Professional Services,Data,Priority Commercial,JOBkwta,Stelios F.,Jemma I.
637115383,falc,Professional Services,IT Services,Priority PS,SWIfaes,Andrew I.,Jemma I.
853115599,pedo,Professional Services,Legal Services,Public Sector,ALHpees,John H.,Jemma I.
704119450,vido,Professional Services,Other Services,SMB,JOBvies,Tom F.,Jemma I.
53411280,bice,Professional Services,Outsourced Services,SMC Comm,JUWbies,Matthew L.,Jemma I.
758119504,supe,Professional Services,Software,SMC Education,SWIsure,Ben Mk.,Jemma I.
123116869,quas,Retailers,Food Service,Strategic,CLWquce,Bilal G.,Garry N.
893119639,idio,Retailers,General Merchandise,SMC Comm,JOBidse,Matthew L.,Garry N.
58911335,core,Retailers,Grocery,SMC Education,CLWcory,Ben Mk.,Garry N.
421111167,triv,Retailers,Motor Vehicle and Parts Dealers,Strategic,SWItrrs,Bilal G.,Garry N.
702119448,abat,Retailers,Specialty Retail,Priority PS,DAMabil,Andrew I.,Garry N.
472117218,fron,Smart Spaces,Architecture and Engineering,Public Sector,CLWfrng,John H.,David B.
3371283,4 Letters,Smart Spaces,Construction,SMB,KEL4 on,Tom F.,David B.
203125949,5 Letters,Smart Spaces,Real Estate,Priority Commercial,UND5 te,Stelios F.,David B.
185128931,Accounting,Smart Spaces,Water and Sewage,Priority Commercial,SWIAcge,Stelios F.,David B.
561121307,Adventure,Telecommunications,Hosters and ISPs,Priority PS,UNDAdPs,Andrew I.,Paul P.
694121440,Animal,Telecommunications,Service Providers,Public Sector,UNDAnrs,John H.,Paul P.
445121191,Apparel,Travel and Transportation,Accommodation,SMB,CLWApon,Tom F.,Rita R.
159124905,Art,Travel and Transportation,Logistics and Trucking,SMC Comm,KELArng,Matthew L.,Rita R.
929122675,Auction,Travel and Transportation,Transport Services,SMC Education,ALHAues,Ben Mk.,Rita R.
769121515,Automobile,Banking,Banking,Strategic,PAKAung,Bilal G.,Tina Q.
366124112,Beauty,Banking,Capital Markets/Securities,SMC Comm,SWIBees,Matthew L.,Tina Q.
291128037,Business,Chemicals,Automotive,SMC Education,UNDBuve,Ben Mk.,Melina K.
846124592,Cellular,Chemicals,Chemicals,Strategic,KELCels,Bilal G.,Melina K.
855124601,Children,Consumer Goods,Consumer Goods,Priority PS,PUMChds,Andrew I.,Maria J.
911124657,Collaboration,Consumer Goods,Food and Beverage,Public Sector,THOCoge,John H.,Maria J.
392129138,Construction,Consumer Goods,Wholesale Distribution,SMB,UNDCoon,Tom F.,Maria J.
809129555,Consulting,Defenses,National Security,Priority Commercial,LJACoty,Stelios F.,Melpo Y.
854129600,Creative,Energy,Electricity and Gas Services,Priority Commercial,CABCres,Stelios F.,Peter J.
207124953,Dating,Energy,Mining,Priority PS,GASDang,Andrew I.,Peter J.
337125083,Design,Energy,Oil and Gas,Public Sector,UNDDeas,John H.,Peter J.
277128023,Download,Entertainment and Media,Advertising,SMB,ANBDong,Tom F.,Pan R.
297129043,Education,Entertainment and Media,Broadcasters,SMC Comm,DAMEdrs,Matthew L.,Pan R.
55712303,Employment,Entertainment and Media,Publishing,SMC Education,STGEmng,Ben Mk.,Pan R.
362122108,Energy,Health,Health Payor,Strategic,LUCEnor,Bilal G.,Ricci M.
238125984,Entertainment,Health,Health Provider,SMC Comm,MEBEner,Matthew L.,Ricci M.
542125288,Event,Higher Education,Higher Education,SMC Education,HITEvon,Ben Mk.,John Y.
69612442,Fashion,Insurance,Insurance Direct,Strategic,SWIFact,Bilal G.,Lena I.
98312729,Financial,Insurance,Insurance Other,Priority PS,CLWFier,Andrew I.,Lena I.
658124404,Fitness,Libraries and Museums,Libraries and Museums,Public Sector,UNDFims,John H.,Andre D.
433127179,Food,Local Government,Public Safety,SMB,UNDFoty,Tom F.,Dan U.
274122020,Fun,Manufacturing,Automotive,Priority Commercial,MIMFuve,Stelios F.,Helen R.
689122435,General,Manufacturing,High Tech and Electronics,Priority Commercial,SWIGecs,Stelios F.,Helen R.
745122491,German,National Government,Government Social Programs,Priority PS,ROCGems,Andrew I.,Onur T.
87128833,Green,National Government,Justice,Public Sector,CLWGrce,John H.,Onur T.
130128876,Hardware,National Government,Public Administration,SMB,UNDHaon,Tom F.,Onur T.
928122674,Health,National Government,Public Works and Services,SMC Comm,HEJHees,Matthew L.,Onur T.
316129062,International,National Government,Resources and Environment,SMC Education,KICInnt,Ben Mk.,Onur T.
14122760,Internet,National Government,Tax and Revenue,Strategic,MIMInue,Bilal G.,Onur T.
953121699,Japanese,Nonprofit,Charities and Philanthropic,SMC Comm,KAGJaic,Matthew L.,Dexter R.
378123124,Latin,Nonprofit,Membership Organizations,SMC Education,UNDLans,Ben Mk.,Dexter R.
441125187,Manufacturing,Pharmaceuticals,Pharmaceuticals,Strategic,UNDMals,Bilal G.,Rob K.
365121111,Marketing,Primary Education,Primary Education,Priority PS,RICMaon,Andrew I.,Jenna L.
936123682,Medical,Professional Services,Accounting and Consulting,Public Sector,PALMeng,John H.,Jemma I.
961123707,Mobile,Professional Services,Data,SMB,ROCMota,Tom F.,Jemma I.
84123830,Multimedia,Professional Services,IT Services,Priority Commercial,BECMues,Stelios F.,Jemma I.
630124376,Music,Professional Services,Legal Services,Priority Commercial,DAMMues,Stelios F.,Jemma I.
708124454,Network,Professional Services,Other Services,Priority PS,SWINees,Andrew I.,Jemma I.
758124504,New,Professional Services,Outsourced Services,Public Sector,BHBNees,John H.,Jemma I.
459128205,Operations,Professional Services,Software,SMB,UNDOpre,Tom F.,Jemma I.
909124655,Organization,Retailers,Food Service,SMC Comm,JUWOrce,Matthew L.,Garry N.
939124685,Photography,Retailers,General Merchandise,SMC Education,CLWPhse,Ben Mk.,Garry N.
421125167,Product,Retailers,Grocery,Strategic,CLWPrry,Bilal G.,Garry N.
647125393,Production,Retailers,Motor Vehicle and Parts Dealers,SMC Comm,CLWPrrs,Matthew L.,Garry N.
838125584,Real Estate,Retailers,Specialty Retail,SMC Education,CLWReil,Ben Mk.,Garry N.
911125657,Reference,Smart Spaces,Architecture and Engineering,Strategic,CLWReng,Bilal G.,David B.
52712273,Sales,Smart Spaces,Construction,Priority PS,SWISaon,Andrew I.,David B.
262126008,Search,Smart Spaces,Real Estate,Public Sector,JOBSete,John H.,David B.
744125490,Security,Smart Spaces,Water and Sewage,SMB,JOBSege,Tom F.,David B.
501127247,SEO,Telecommunications,Hosters and ISPs,Priority Commercial,ELHSEPs,Stelios F.,Paul P.
506127252,Shopping,Telecommunications,Service Providers,Priority Commercial,REAShrs,Stelios F.,Paul P.
787127533,Social,Travel and Transportation,Accommodation,Priority PS,KAGSoon,Andrew I.,Rita R.
76127822,Spanish,Travel and Transportation,Logistics and Trucking,Public Sector,DAMSpng,John H.,Rita R.
128127874,Sports,Travel and Transportation,Transport Services,SMB,MARSpes,Tom F.,Rita R.
821121567,Technology,Banking,Banking,SMC Comm,LAOTeng,Matthew L.,Tina Q.
824121570,Telecom,Banking,Capital Markets/Securities,SMC Education,GASTees,Ben Mk.,Tina Q.
485128231,Travel,Chemicals,Automotive,Strategic,RMATrve,Bilal G.,Melina K.
585128331,Video,Chemicals,Chemicals,SMC Comm,SWIVils,Matthew L.,Melina K.
648128394,Odds And Ends,Consumer Goods,Consumer Goods,SMC Education,LJAOdds,Ben Mk.,Maria J.
719128465,Handy Help,Consumer Goods,Food and Beverage,Strategic,SWIHage,Bilal G.,Maria J.
582128328,Knick Knacks,Consumer Goods,Wholesale Distribution,Priority PS,CLWKnon,Andrew I.,Maria J.
75512501,Nick’S Knacks,Defenses,National Security,Public Sector,CLWNity,John H.,Melpo Y.
5121751,Here And There And Everywhere,Energy,Electricity and Gas Services,SMB,UNDHees,Tom F.,Peter J.
85127831,Etc.,Energy,Mining,Priority Commercial,ALHEtng,Stelios F.,Peter J.
869128615,Et Cetera Systems,Energy,Oil and Gas,Priority Commercial,UNDEtas,Stelios F.,Peter J.
521121267,Et Cetera,Entertainment and Media,Advertising,Priority PS,UNDEtng,Andrew I.,Pan R.
284122030,Et Cetera Solutions,Entertainment and Media,Broadcasters,Public Sector,UNDEtrs,John H.,Pan R.
306122052,Tbd,Entertainment and Media,Publishing,SMB,SWITbng,Tom F.,Pan R.
323122069,Closet Of Choices,Health,Health Payor,SMC Comm,SWIClor,Matthew L.,Ricci M.
439122185,Random Reasoning,Health,Health Provider,SMC Education,SWIRaer,Ben Mk.,Ricci M.
450122196,Random Assortment,Higher Education,Higher Education,Strategic,ALHRaon,Bilal G.,John Y.
248121994,Assorted Assets,Insurance,Insurance Direct,SMC Comm,GABAsct,Matthew L.,Lena I.
250121996,Trusted Assortment,Insurance,Insurance Other,SMC Education,ROCTrer,Ben Mk.,Lena I.
