New Account No,New MonthID, New Revenue 
00953115699,111, $46 
00953115699,112, $832 
00953115699,113, $362 
00953115699,114, $76 
00953115699,115, $-   
00953115699,116, $-   
00953115699,117, $-   
00953115699,118, $-   
00953115699,119, $-   
00864115610,109, $681 
00864115610,110, $665 
00864115610,111, $43 
00864115610,112, $384 
00864115610,113, $579 
00864115610,114, $721 
00864115610,115, $-   
00864115610,116, $-   
00864115610,117, $-   
00864115610,118, $-   
00864115610,119, $-   
00682116428,109, $192 
00682116428,110, $236 
00682116428,111, $206 
00682116428,112, $709 
00682116428,113, $778 
00682116428,114, $668 
00682116428,115, $-   
00682116428,116, $-   
00682116428,117, $-   
00682116428,118, $-   
00682116428,119, $-   
00916117662,109," $7,168 "
00916117662,110," $4,784 "
00916117662,111," $3,664 "
00916117662,112," $5,835 "
00916117662,113," $10,613 "
00916117662,114," $10,701 "
00916117662,115, $-   
00916117662,116, $-   
00916117662,117, $-   
00916117662,118, $-   
00916117662,119, $-   
00144118890,109, $912 
00144118890,110, $309 
00144118890,111, $669 
00144118890,112, $640 
00144118890,113, $-58 
00144118890,114, $164 
00144118890,115, $-   
00144118890,116, $-   
00144118890,117, $-   
00144118890,118, $-   
00144118890,119, $-   
00191118937,109, $255 
00191118937,110, $564 
00191118937,111, $745 
00191118937,112, $82 
00191118937,113, $506 
00191118937,114, $618 
00191118937,115, $-   
00191118937,116, $-   
00191118937,117, $-   
00191118937,118, $-   
00191118937,119, $-   
00275119021,109," $1,798 "
00275119021,110," $1,036 "
00275119021,111," $1,217 "
00275119021,112," $1,451 "
00275119021,113," $3,261 "
00275119021,114," $2,716 "
00275119021,115, $-   
00275119021,116, $-   
00275119021,117, $-   
00275119021,118, $-   
00275119021,119, $-   
00280119026,109, $760 
00280119026,110, $118 
00280119026,111, $674 
00280119026,112, $-139 
00280119026,113, $599 
00285119031,109," $473,018 "
00285119031,110," $356,639 "
00285119031,111," $259,861 "
00285119031,112," $327,443 "
00285119031,113," $552,274 "
00285119031,114," $425,172 "
00285119031,115, $-   
00285119031,116, $-   
00285119031,117, $-   
00285119031,118, $-   
00285119031,119, $-   
00737119483,109," $11,922 "
00737119483,110," $8,569 "
00737119483,111," $6,053 "
00737119483,112," $7,423 "
00737119483,113," $9,878 "
00737119483,114," $8,334 "
00737119483,115, $-   
00737119483,116, $-   
00737119483,117, $-   
00737119483,118, $-   
00737119483,119, $-   
00790119536,109, $575 
00790119536,110, $45 
00790119536,111, $195 
00790119536,112, $355 
00790119536,113," $1,218 "
00790119536,114, $638 
00790119536,115, $-   
00790119536,116, $-   
00790119536,117, $-   
00790119536,118, $-   
00790119536,119, $-   
00865119611,109," $1,055 "
00865119611,110, $517 
00865119611,111, $839 
00865119611,112, $52 
00865119611,113, $884 
00865119611,114, $813 
00865119611,115, $-   
00865119611,116, $-   
00865119611,117, $-   
00865119611,118, $-   
00865119611,119, $-   
00651118397,109, $116 
00392117138,109, $718 
00392117138,110," $4,918 "
00392117138,111," $4,277 "
00392117138,112," $8,079 "
00392117138,113," $25,295 "
00392117138,114," $36,340 "
00392117138,115, $-   
00392117138,116, $-   
00392117138,117, $-   
00392117138,118, $-   
00392117138,119, $-   
00439117185,109, $236 
00439117185,110, $14 
00439117185,111, $6 
00439117185,112, $-90 
00439117185,113," $2,335 "
00439117185,114, $910 
00439117185,115, $-   
00439117185,116, $-   
00439117185,117, $-   
00439117185,118, $-   
00439117185,119, $-   
00991111737,109, $20 
00878113624,109, $871 
00907113653,109, $799 
00907113653,110, $-172 
00907113653,111, $489 
00907113653,112, $21 
00907113653,113, $162 
00907113653,114, $789 
00907113653,115, $-   
00907113653,116, $-   
00907113653,117, $-   
00907113653,118, $-   
00907113653,119, $-   
00530111276,109, $590 
00604119350,109," $15,249 "
00604119350,110," $9,381 "
00604119350,111," $6,855 "
00604119350,112," $8,031 "
00604119350,113," $12,425 "
00604119350,114," $11,588 "
00604119350,115, $-   
00604119350,116, $-   
00604119350,117, $-   
00604119350,118, $-   
00604119350,119, $-   
0062311369,109," $1,926 "
0062311369,110," $1,533 "
0062311369,111," $1,582 "
0062311369,112," $1,762 "
0062311369,113," $1,160 "
0062311369,114, $870 
0062311369,115, $-   
0062311369,116, $-   
0062311369,117, $-   
0062311369,118, $-   
0062311369,119, $-   
00534119280,109," $3,217 "
00534119280,110," $4,302 "
00534119280,111," $1,272 "
00534119280,112," $1,712 "
00534119280,113," $1,770 "
00534119280,114," $1,454 "
00534119280,115, $-   
00534119280,116, $-   
00534119280,117, $-   
00534119280,118, $-   
00534119280,119, $-   
00484111230,109, $-62 
00484111230,110, $-192 
00484111230,111, $754 
00484111230,112, $828 
00484111230,113, $624 
00484111230,114, $77 
00484111230,115, $-   
00484111230,116, $-   
00484111230,117, $-   
00484111230,118, $-   
00484111230,119, $-   
00442115188,109, $891 
00952115698,109, $879 
00952115698,110, $208 
00187116933,109," $13,602 "
00187116933,110," $10,539 "
00187116933,111," $7,787 "
00187116933,112," $10,708 "
00187116933,113," $17,225 "
00187116933,114," $15,071 "
00187116933,115, $-   
00187116933,116, $-   
00187116933,117, $-   
00187116933,118, $-   
00187116933,119, $-   
00059115805,109, $316 
00059115805,110, $885 
00059115805,111, $486 
00059115805,112, $754 
00059115805,113, $602 
00059115805,114, $821 
00059115805,115, $-   
00059115805,116, $-   
00059115805,117, $-   
00059115805,118, $-   
00059115805,119, $-   
